Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
36,1,F_Lure_9.bmp,NA,NA,NA,NA,1,4.0358,NA,NA
37,1,S_Lure_52.bmp,NA,NA,NA,NA,1,1.7645,NA,NA
38,1,S_Image_61.bmp,NA,NA,NA,NA,1,1.2487,NA,NA
39,1,O_Lure_26.bmp,NA,NA,NA,NA,1,0.37661,NA,NA
40,1,S_Image_64.bmp,NA,NA,NA,NA,1,0.051564,NA,NA
41,1,F_Lure_2.bmp,NA,NA,NA,NA,1,0.00012104,NA,NA
42,1,F_Image_14.bmp,NA,NA,NA,NA,1,0.00012587,NA,NA
43,1,S_Image_69.bmp,NA,NA,NA,NA,1,2.1547,NA,NA
44,1,O_Image_44.bmp,NA,NA,NA,NA,1,0.82288,NA,NA
45,1,O_Image_28.bmp,NA,NA,NA,NA,1,0.89685,NA,NA
46,1,S_Image_53.bmp,NA,NA,NA,NA,1,1.129,NA,NA
47,1,S_Image_70.bmp,NA,NA,NA,NA,1,0.82164,NA,NA
48,1,O_Lure_38.bmp,NA,NA,NA,NA,1,0.52652,NA,NA
49,1,O_Lure_27.bmp,NA,NA,NA,NA,1,0.5224,NA,NA
50,1,O_Image_37.bmp,NA,NA,NA,NA,1,1.0731,NA,NA
51,1,F_Image_4.bmp,NA,NA,NA,NA,1,1.2651,NA,NA
52,1,F_Lure_19.bmp,NA,NA,NA,NA,1,0.00011953,NA,NA
53,1,F_Image_19.bmp,NA,NA,NA,NA,1,0.46201,NA,NA
54,1,O_Image_34.bmp,NA,NA,NA,NA,1,0.88402,NA,NA
55,1,F_Lure_18.bmp,NA,NA,NA,NA,1,0.0021464,NA,NA
56,1,S_Image_62.bmp,NA,NA,NA,NA,1,0.91539,NA,NA
57,1,S_Image_71.bmp,NA,NA,NA,NA,1,3.9113,NA,NA
58,1,S_Image_55.bmp,NA,NA,NA,NA,1,0.22976,NA,NA
59,1,S_Image_52.bmp,NA,NA,NA,NA,1,1.5583,NA,NA
60,1,O_Image_26.bmp,NA,NA,NA,NA,1,0.56167,NA,NA
61,1,S_Image_59.bmp,NA,NA,NA,NA,1,1.9483,NA,NA
62,1,O_Image_27.bmp,NA,NA,NA,NA,1,0.45504,NA,NA
63,1,F_Image_12.bmp,NA,NA,NA,NA,1,0.35106,NA,NA
64,1,F_Lure_10.bmp,NA,NA,NA,NA,1,0.16125,NA,NA
65,1,O_Image_45.bmp,NA,NA,NA,NA,1,0.54652,NA,NA
66,1,S_Lure_60.bmp,NA,NA,NA,NA,1,0.48864,NA,NA
67,1,O_Lure_44.bmp,NA,NA,NA,NA,1,0.1753,NA,NA
68,1,O_Image_25.bmp,NA,NA,NA,NA,1,0.43534,NA,NA
69,1,F_Lure_7.bmp,NA,NA,NA,NA,1,0.91743,NA,NA
70,1,F_Lure_15.bmp,NA,NA,NA,NA,1,0.59472,NA,NA
71,1,S_Lure_55.bmp,NA,NA,NA,NA,1,1.7175,NA,NA
72,1,O_Lure_33.bmp,NA,NA,NA,NA,1,1.5055,NA,NA
73,1,O_Lure_43.bmp,NA,NA,NA,NA,1,0.58159,NA,NA
74,1,S_Lure_59.bmp,NA,NA,NA,NA,1,0.60154,NA,NA
75,1,S_Image_72.bmp,NA,NA,NA,NA,1,0.74844,NA,NA
76,1,O_Image_29.bmp,NA,NA,NA,NA,1,1.9336,NA,NA
77,1,O_Image_30.bmp,NA,NA,NA,NA,1,2.0271,NA,NA
78,1,S_Lure_72.bmp,NA,NA,NA,NA,1,0.68657,NA,NA
79,1,F_Lure_13.bmp,NA,NA,NA,NA,1,0.43778,NA,NA
80,1,S_Lure_65.bmp,NA,NA,NA,NA,1,0.84582,NA,NA
81,1,O_Image_36.bmp,NA,NA,NA,NA,1,0.8386,NA,NA
82,1,F_Lure_12.bmp,NA,NA,NA,NA,1,0.63999,NA,NA
83,1,F_Image_13.bmp,NA,NA,NA,NA,1,0.57737,NA,NA
84,1,O_Image_40.bmp,NA,NA,NA,NA,1,0.54005,NA,NA
85,1,F_Image_1.bmp,NA,NA,NA,NA,1,1.01,NA,NA
86,1,S_Lure_50.bmp,NA,NA,NA,NA,1,1.3708,NA,NA
87,1,F_Lure_8.bmp,NA,NA,NA,NA,1,0.0061317,NA,NA
88,1,O_Image_42.bmp,NA,NA,NA,NA,1,0.90422,NA,NA
89,1,S_Image_63.bmp,NA,NA,NA,NA,1,0.50239,NA,NA
